                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5992,                 1.9792,                 1.4122,                0.53393,                0.51553,                0.52889,                0.33946,                 1.0429,                0.86412,                 1.1446,               0.070448,              0.0032836,              0.0032836
                      1,                 1.0994,                0.87489,                 1.0271,                0.55155,                0.57778,                0.55215,                0.34281,                 1.1178,                0.80268,                  1.134,               0.040382,              0.0065514,              0.0065514
                      2,                 1.1058,                0.80137,                 1.0085,                0.51619,                0.67005,                0.56942,                0.36572,                 1.0297,                0.71201,                 1.0976,               0.010251,              0.0097532,              0.0097532
                      3,                 1.1106,                0.79232,                   1.01,                0.54531,                0.68007,                0.56227,                  0.356,                 1.0675,                0.75121,                 1.0657,               0.009703,               0.009703,               0.009703
                      4,                  1.063,                0.73173,                0.99985,                0.51683,                0.71151,                0.57617,                 0.3757,                 1.0523,                0.72718,                 1.0741,               0.009703,               0.009703,               0.009703
                      5,                 1.0902,                0.67524,                 1.0059,                0.53582,                0.75333,                0.59142,                0.39201,                 1.0173,                0.67351,                 1.0575,               0.009604,               0.009604,               0.009604
                      6,                 1.0394,                 0.6696,                 0.9901,                0.54839,                0.71816,                0.57852,                0.37431,                 1.0681,                0.65705,                 1.0882,               0.009505,               0.009505,               0.009505
                      7,                 1.0411,                0.65733,                0.98069,                0.52839,                 0.7705,                0.56934,                 0.3624,                 1.0542,                0.66946,                  1.096,               0.009406,               0.009406,               0.009406
                      8,                 1.0185,                 0.6198,                0.98055,                 0.5445,                0.82366,                 0.5851,                0.38717,                0.98962,                0.66742,                 1.0628,               0.009307,               0.009307,               0.009307
                      9,                0.99349,                0.61434,                  0.974,                0.56378,                0.79691,                0.59225,                0.39289,                0.98273,                0.62294,                 1.0547,               0.009208,               0.009208,               0.009208
                     10,                 0.9956,                0.60901,                   0.98,                0.54353,                0.79691,                0.53881,                 0.3416,                 1.0564,                0.71615,                 1.0717,               0.009109,               0.009109,               0.009109
                     11,                0.97258,                0.60551,                0.96788,                0.56887,                0.76463,                0.58477,                0.38383,                 1.0284,                0.65732,                 1.0766,                0.00901,                0.00901,                0.00901
                     12,                0.97633,                0.59176,                0.97068,                0.58098,                0.76088,                0.58912,                0.39571,                0.99334,                0.64781,                 1.0834,               0.008911,               0.008911,               0.008911
                     13,                0.95404,                0.57338,                0.96418,                0.58076,                0.80077,                0.58711,                0.39984,                0.98489,                0.64593,                 1.0566,               0.008812,               0.008812,               0.008812
                     14,                0.94892,                0.56157,                0.95986,                0.56008,                 0.8246,                0.58856,                0.38712,                0.99692,                0.59918,                  1.068,               0.008713,               0.008713,               0.008713
                     15,                0.94819,                0.56579,                0.95721,                0.56146,                0.85092,                0.60787,                0.42004,                0.91207,                0.58076,                  1.003,               0.008614,               0.008614,               0.008614
                     16,                0.93285,                0.55769,                0.95418,                  0.572,                0.82855,                0.60785,                0.41598,                0.93475,                0.55535,                0.99221,               0.008515,               0.008515,               0.008515
                     17,                0.92505,                0.56694,                0.94877,                0.58143,                0.83617,                0.61387,                0.42629,                0.91355,                0.54834,                0.98746,               0.008416,               0.008416,               0.008416
                     18,                0.89668,                0.52794,                0.93752,                0.56677,                0.84304,                0.60727,                0.41269,                 0.9349,                 0.5504,                 1.0311,               0.008317,               0.008317,               0.008317
                     19,                0.89242,                0.52171,                0.93953,                0.58127,                0.84968,                 0.6017,                0.41917,                0.92341,                0.58458,                 1.0378,               0.008218,               0.008218,               0.008218
                     20,                0.89425,                0.52847,                0.94273,                0.51429,                0.82095,                0.56381,                0.39528,                0.88094,                0.63835,                0.99954,               0.008119,               0.008119,               0.008119
                     21,                0.88384,                0.51179,                0.93743,                0.57098,                0.77185,                 0.6038,                0.41479,                0.91741,                0.53292,                0.99202,                0.00802,                0.00802,                0.00802
                     22,                0.87324,                0.50988,                0.92819,                0.59208,                0.79441,                0.60477,                0.42714,                0.87319,                 0.5297,                0.96812,               0.007921,               0.007921,               0.007921
                     23,                 0.8732,                0.50323,                0.92555,                0.58715,                0.81432,                 0.6171,                0.42986,                0.89796,                0.53898,                 1.0225,               0.007822,               0.007822,               0.007822
                     24,                0.86313,                0.49858,                0.92614,                0.57764,                0.81923,                0.59175,                0.41126,                0.91136,                0.58272,                 1.0004,               0.007723,               0.007723,               0.007723
                     25,                0.85089,                0.48278,                 0.9226,                0.58595,                0.86613,                0.62234,                0.43487,                0.89431,                0.54032,                 1.0042,               0.007624,               0.007624,               0.007624
