                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.233,                 2.8646,                 1.7982,                0.64328,                 0.4138,                0.48933,                0.20173,                 1.9297,                 2.1738,                 1.6834,               0.070169,              0.0033146,              0.0033146
                      1,                 2.1369,                 2.3163,                 1.6677,                0.61281,                0.50191,                0.53613,                0.22598,                 1.9092,                 1.8309,                 1.5272,               0.040037,              0.0065163,              0.0065163
                      2,                 2.1408,                 2.2858,                  1.557,                0.52301,                0.42063,                0.43109,                0.18035,                 1.9679,                 1.9895,                 1.4846,              0.0097733,               0.009586,               0.009586
                      3,                 2.1609,                 2.3275,                 1.5549,                0.53345,                0.46687,                0.46209,                0.18636,                 1.9492,                 1.8632,                 1.4792,               0.009406,               0.009406,               0.009406
                      4,                 2.1328,                  2.304,                 1.5606,                0.55367,                0.48447,                0.48445,                0.19816,                 1.9377,                 1.8622,                 1.4714,               0.009406,               0.009406,               0.009406
                      5,                 2.1199,                 2.2517,                 1.5584,                0.55248,                0.50449,                 0.5174,                0.21862,                 1.8458,                 1.7457,                 1.4503,               0.009208,               0.009208,               0.009208
                      6,                 2.1027,                 2.1808,                 1.5158,                0.53352,                0.49551,                0.49624,                0.20709,                 1.8408,                 1.7143,                 1.4143,                0.00901,                0.00901,                0.00901
                      7,                 2.0775,                 2.1662,                  1.512,                 0.6007,                0.51932,                 0.5346,                0.22775,                 1.8569,                 1.7488,                 1.3967,               0.008812,               0.008812,               0.008812
                      8,                 2.0587,                 2.0951,                 1.5008,                0.61898,                 0.5697,                0.58181,                0.25165,                 1.8104,                 1.6081,                 1.3605,               0.008614,               0.008614,               0.008614
                      9,                 2.0421,                 2.0688,                 1.4786,                0.66767,                0.57626,                0.62158,                0.27247,                 1.7871,                  1.548,                 1.3809,               0.008416,               0.008416,               0.008416
                     10,                 2.0301,                 2.0305,                 1.4722,                0.65027,                0.52726,                0.58263,                0.24689,                 1.8362,                 1.6876,                 1.4276,               0.008218,               0.008218,               0.008218
                     11,                  2.009,                 1.9804,                 1.4629,                 0.6914,                0.58765,                 0.6431,                0.29279,                 1.7889,                 1.4714,                 1.4042,                0.00802,                0.00802,                0.00802
                     12,                 1.9869,                 1.9671,                 1.4467,                0.66781,                0.57557,                0.62088,                 0.2711,                 1.8079,                 1.5359,                 1.3978,               0.007822,               0.007822,               0.007822
                     13,                 1.9887,                 1.9297,                 1.4584,                0.69042,                0.60025,                0.64303,                0.28775,                 1.7752,                   1.46,                 1.3981,               0.007624,               0.007624,               0.007624
                     14,                 1.9643,                 1.9016,                 1.4465,                  0.723,                0.58385,                0.65679,                0.29899,                 1.7602,                 1.4341,                 1.3633,               0.007426,               0.007426,               0.007426
                     15,                 1.9501,                 1.8771,                 1.4346,                0.73941,                0.61456,                0.69516,                 0.3134,                 1.7381,                 1.3973,                 1.3383,               0.007228,               0.007228,               0.007228
                     16,                  1.923,                 1.8386,                 1.4158,                0.71824,                 0.6087,                0.67706,                0.30341,                 1.7789,                 1.4368,                 1.3686,                0.00703,                0.00703,                0.00703
                     17,                 1.9261,                 1.8422,                 1.4215,                0.73326,                 0.5976,                 0.6728,                0.30313,                 1.7817,                 1.4458,                 1.3844,               0.006832,               0.006832,               0.006832
                     18,                  1.902,                  1.791,                 1.4191,                0.72624,                0.64286,                0.68947,                0.31504,                 1.7529,                 1.3659,                 1.3647,               0.006634,               0.006634,               0.006634
                     19,                 1.9171,                 1.7979,                 1.4147,                0.74593,                0.62306,                0.69154,                0.31564,                 1.7599,                 1.3799,                 1.3548,               0.006436,               0.006436,               0.006436
                     20,                 1.8903,                 1.7788,                 1.4051,                0.74378,                0.64803,                  0.704,                0.31584,                 1.7395,                 1.3515,                 1.3513,               0.006238,               0.006238,               0.006238
                     21,                 1.8948,                 1.7518,                 1.4063,                0.77232,                0.62972,                0.71085,                0.32612,                 1.7769,                 1.3369,                 1.3625,                0.00604,                0.00604,                0.00604
                     22,                 1.8408,                 1.7134,                 1.3827,                0.75656,                0.63593,                0.70873,                0.32426,                 1.7684,                 1.3306,                  1.369,               0.005842,               0.005842,               0.005842
                     23,                 1.8416,                  1.691,                  1.375,                0.76169,                0.63389,                0.70655,                0.32547,                 1.7442,                 1.3043,                 1.3275,               0.005644,               0.005644,               0.005644
                     24,                 1.8364,                 1.6997,                 1.3784,                0.71656,                0.66184,                 0.7172,                0.32287,                 1.7633,                 1.2918,                 1.3626,               0.005446,               0.005446,               0.005446
                     25,                 1.8313,                 1.6674,                 1.3731,                0.77981,                 0.6539,                0.73308,                0.33846,                  1.755,                 1.2451,                 1.3564,               0.005248,               0.005248,               0.005248
                     26,                 1.8287,                 1.6635,                 1.3685,                0.74274,                0.66494,                0.72272,                0.32953,                 1.7602,                 1.2705,                 1.3559,                0.00505,                0.00505,                0.00505
                     27,                 1.8112,                 1.6339,                 1.3662,                0.77168,                0.66126,                0.72831,                0.33657,                  1.761,                 1.2266,                 1.3488,               0.004852,               0.004852,               0.004852
                     28,                 1.8094,                 1.6289,                 1.3541,                0.76554,                0.65493,                0.72316,                0.32749,                 1.7727,                 1.2884,                 1.3677,               0.004654,               0.004654,               0.004654
                     29,                 1.7738,                 1.5977,                 1.3361,                0.76255,                0.66184,                0.73117,                0.33536,                 1.7604,                 1.2329,                 1.3477,               0.004456,               0.004456,               0.004456
                     30,                   1.76,                  1.551,                 1.3248,                 0.7701,                0.64941,                0.72636,                0.33162,                 1.7515,                 1.2401,                 1.3621,               0.004258,               0.004258,               0.004258
                     31,                 1.7559,                 1.5538,                 1.3231,                0.78242,                0.64941,                0.73008,                0.33251,                  1.762,                  1.215,                 1.3496,                0.00406,                0.00406,                0.00406
                     32,                 1.7558,                 1.5437,                 1.3274,                0.75805,                0.65409,                0.72371,                0.33152,                  1.759,                 1.2194,                 1.3565,               0.003862,               0.003862,               0.003862
                     33,                 1.7342,                 1.5193,                 1.3156,                0.74646,                 0.6624,                0.72332,                0.32681,                 1.7756,                 1.2252,                 1.3607,               0.003664,               0.003664,               0.003664
                     34,                  1.719,                 1.4957,                 1.3057,                0.78736,                0.67322,                0.74459,                0.34338,                 1.7604,                 1.1571,                  1.347,               0.003466,               0.003466,               0.003466
                     35,                 1.7042,                 1.4647,                  1.292,                0.76976,                0.68634,                 0.7527,                0.34323,                 1.7593,                 1.1787,                 1.3501,               0.003268,               0.003268,               0.003268
